,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
342,"11 East 29th Street, Unit 10C",NoMad,6500,2 BD,2 BA,Manhattan,Compass
343,"250 East 40th Street, Unit 7F",Murray Hill,3850,1 BD,1.5 BA,Manhattan,Compass
345,"135 West 52nd Street, Unit 23C",Theater District,9750,2 BD,2 BA,Manhattan,Compass
346,"26 West 9th Street, Unit 8DD",Greenwich Village,7800,2 BD,0.5 BA,Manhattan,Compass
347,"400 East 67th Street, Unit 17B",Upper East Side,9995,3 BD,3 BA,Manhattan,Compass
348,"10 Manhattan Avenue, Unit 2C",Upper West Side,5500,5 BD,2 BA,Manhattan,Compass
349,"77 7th Avenue, Unit PHAB",Chelsea,10000,2 BD,2.5 BA,Manhattan,Compass
351,"151 West 17th Street, Unit 2C",Chelsea,8950,2 BD,2 BA,Manhattan,Compass
352,"270 West 19th Street, Unit 1B",Chelsea,9500,2 BD,2 BA,Manhattan,Compass
353,"252 7th Avenue, Unit 11S",Chelsea,5995,1 BD,1 BA,Manhattan,Compass
