,Address,Neighborhood,Price,Beds,Baths,Boro,Agency
4462,"101 Stanton Street, Unit 2",Lower East Side,5500,3 BD,1 BA,Manhattan,Compass
4463,"101 Stanton Street, Unit 2",Lower East Side,5500,3 BD,1 BA,Manhattan,Compass
4464,"11 East 1st Street, Unit 1722",East Village,7070,2 BD,2 BA,Manhattan,Compass
4465,"101 Stanton Street, Unit 3",Lower East Side,4000,2 BD,1 BA,Manhattan,Compass
4466,"101 Stanton Street, Unit 3",Lower East Side,4000,2 BD,1 BA,Manhattan,Compass
4467,"888 8th Avenue, Unit 18R",Theater District,2750,Studio,1 BA,Manhattan,Compass
4468,"454 Manhattan Avenue, Unit 7O",Harlem,4345,2 BD,2 BA,Manhattan,Compass
4469,"49 East 34th Street, Unit 2C",Murray Hill,3850,1 BD,1 BA,Manhattan,Compass
4470,"16 West 19th Street, Unit 7E",Flatiron,6000,1 BD,1 BA,Manhattan,Compass
4471,"523 West 49th Street, Unit 5A",Hell's Kitchen,3250,2 BD,1 BA,Manhattan,Compass
4472,"60 Riverside Boulevard, Unit 609",Upper West Side,5990,1 BD,2 BA,Manhattan,Compass
4473,"275 South Street, Unit 7N",Lower East Side,4800,3 BD,1 BA,Manhattan,Compass
4474,"420 East 54th Street, Unit 1408",Midtown East,5200,1 BD,2 BA,Manhattan,Compass
4475,"420 East 54th Street, Unit 1408",Midtown East,6000,1 BD,2 BA,Manhattan,Compass
4476,"934 Amsterdam Avenue, Unit 5N",Upper West Side,3900,3 BD,1 BA,Manhattan,Compass
4477,"934 Amsterdam Avenue, Unit 5N",Upper West Side,3900,3 BD,1 BA,Manhattan,Compass
4478,"275 South Street, Unit 4K",Lower East Side,4550,2 BD,1 BA,Manhattan,Compass
4479,"45 West 60th Street, Unit 29G",Upper West Side,4395,1 BD,1 BA,Manhattan,Compass
4480,"60 Riverside Boulevard, Unit 508",Upper West Side,4980,1 BD,1 BA,Manhattan,Compass
4481,"555 West 152nd Street, Unit 3A",Hamilton Heights,1775,1 BD,1 BA,Manhattan,Compass
4482,"58 West 84th Street, Unit GF",Upper West Side,2095,Studio,1 BA,Manhattan,Compass
4483,"321 West 54th Street, Unit 504",Hell's Kitchen,4750,2 BD,1 BA,Manhattan,Compass
4484,"444 East 88th Street, Unit 3E",Upper East Side,3450,2 BD,1 BA,Manhattan,Compass
4485,"444 East 88th Street, Unit 5B",Upper East Side,2850,1 BD,1 BA,Manhattan,Compass
4486,"125 West 31st Street, Unit 35K",Midtown South,4354,1 BD,1 BA,Manhattan,Compass
4487,"78 Manhattan Avenue, Unit 5E",Upper West Side,2085,Studio,1 BA,Manhattan,Compass
4488,"78 Manhattan Avenue, Unit 1B",Upper West Side,2663,1 BD,1 BA,Manhattan,Compass
4490,"150 East 57th Street, Unit 21E",Midtown East,5250,2 BD,2 BA,Manhattan,Compass
4491,"150 East 57th Street, Unit 7C",Midtown East,3325,Studio,1 BA,Manhattan,Compass
4492,"238 East 60th Street, Unit 4R",Upper East Side,1850,Studio,1 BA,Manhattan,Compass
4493,"534 West 50th Street, Unit 5B",Hell's Kitchen,2750,2 BD,1 BA,Manhattan,Compass
4494,"534 West 50th Street, Unit 5B",Hell's Kitchen,2750,2 BD,1 BA,Manhattan,Compass
4495,"536 East 89th Street, Unit 4D",Upper East Side,2175,1 BD,1 BA,Manhattan,Compass
4496,"536 East 89th Street, Unit 4D",Upper East Side,2175,1 BD,1 BA,Manhattan,Compass
4497,"749 9th Avenue, Unit 501",Hell's Kitchen,3575,2 BD,1 BA,Manhattan,Compass
4498,"749 9th Avenue, Unit 501",Hell's Kitchen,3575,2 BD,1 BA,Manhattan,Compass
4499,"76 West 86th Street, Unit 4E",Upper West Side,4100,2 BD,1 BA,Manhattan,Compass
4500,"76 West 86th Street, Unit 4E",Upper West Side,4100,2 BD,1 BA,Manhattan,Compass
4501,"600 Washington Street, Unit 310",West Village,3826,Studio,1 BA,Manhattan,Compass
4502,"245 East 63rd Street, Unit 23C",Upper East Side,4250,2 BD,1 BA,Manhattan,Compass
4503,"2741 Frederick, Unit 5A",Harlem,1700,1 BD,1 BA,Manhattan,Compass
4504,"21 West Street, Unit 12L",Financial District,3795,Studio,1 BA,Manhattan,Compass
4505,"101 West End Avenue, Unit 12L",Upper West Side,6000,2 BD,1.5 BA,Manhattan,Compass
4506,"76 St Nicholas Place, Unit 54",Hamilton Heights,2150,1 BD,1 BA,Manhattan,Compass
4507,"420 East 79th Street, Unit 16D",Upper East Side,7500,3 BD,3 BA,Manhattan,Compass
4508,"300 Albany Street, Unit 6A",Battery Park City,3500,1 BD,1 BA,Manhattan,Compass
4509,"200 East 116th Street, Unit 2S",East Harlem,4200,3 BD,2 BA,Manhattan,Compass
4510,"710 Amsterdam Avenue, Unit 5B",Upper West Side,4500,4 BD,2 BA,Manhattan,Compass
4511,"40 Sutton Place, Unit 5D",Midtown East,2200,Studio,1 BA,Manhattan,Compass
4512,"200 Chambers Street, Unit 5F",TriBeCa,4900,1 BD,1 BA,Manhattan,Compass
4513,"160 Central Park South, Unit 820",Central Park South,6000,1 BD,1 BA,Manhattan,Compass
4514,"98 Riverside Drive, Unit 8E",Upper West Side,6995,2 BD,1.5 BA,Manhattan,Compass
4515,"101 West 87th Street, Unit 504",Upper West Side,4250,1 BD,1 BA,Manhattan,Compass
4516,"340 East 23rd Street, Unit 14L",Gramercy,3850,1 BD,1 BA,Manhattan,Compass
4517,"33 West 56th Street, Unit PHC",Theater District,23500,3 BD,3.5 BA,Manhattan,Compass
4518,"101 West End Avenue, Unit 12V",Upper West Side,4500,Studio,1 BA,Manhattan,Compass
4519,"117 West 21st Street, Unit PHA",Chelsea,35000,4 BD,3.5 BA,Manhattan,Compass
4520,"280 Park Avenue South, Unit 12M",Flatiron,5200,1 BD,1 BA,Manhattan,Compass
4521,"220 West 98th Street, Unit 2H",Upper West Side,4250,2 BD,1 BA,Manhattan,Compass
4522,"88 Jane Street, Unit 4R",West Village,6995,1 BD,1.5 BA,Manhattan,Compass
4523,"40 Central Park South, Unit PHD",Central Park South,29500,2 BD,2 BA,Manhattan,Compass
4524,300 East 77th Street,Upper East Side,24500,5 BD,4.5 BA,Manhattan,Compass
4525,"20 Ave A, Unit 4D",East Village,2842,1 BD,1 BA,Manhattan,Compass
4526,"415 East 71st Street, Unit D",Upper East Side,1850,Studio,1 BA,Manhattan,Compass
4527,"164 East 82nd Street, Unit 4A",Upper East Side,2250,Studio,1 BA,Manhattan,Compass
4528,"200 East 116th Street, Unit 4S",East Harlem,5150,4 BD,2 BA,Manhattan,Compass
4529,"16 East 118th Street, Unit 2",East Harlem,3500,3 BD,1 BA,Manhattan,Compass
4530,"162 East 82nd Street, Unit 3A",Upper East Side,2250,1 BD,1 BA,Manhattan,Compass
4531,"53 Greene Street, Unit 4",SoHo,18000,2 BD,3 BA,Manhattan,Compass
4532,"33 West 56th Street, Unit 14B",Theater District,14800,3 BD,3.5 BA,Manhattan,Compass
4533,"415 East 37th Street, Unit 43J",Murray Hill,6500,2 BD,2 BA,Manhattan,Compass
4534,"220 West 98th Street, Unit 4K",Upper West Side,2750,1 BD,1 BA,Manhattan,Compass
4535,"325 West 45th Street, Unit 314",Hell's Kitchen,2300,Studio,1 BA,Manhattan,Compass
4536,"215 East 81st Street, Unit 3G",Upper East Side,3250,1 BD,1 BA,Manhattan,Compass
4537,"342 East 110th Street, Unit 5B",East Harlem,2500,1 BD,1 BA,Manhattan,Compass
4538,"340 East 52nd Street, Unit 1A",Midtown East,10625,Studio,1.5 BA,Manhattan,Compass
4539,"133 West 22nd Street, Unit PHA",Chelsea,24000,3 BD,3 BA,Manhattan,Compass
4540,27 West 131st Street,Harlem,2100,1 BD,1 BA,Manhattan,Compass
4541,"30 Christopher Street, Unit 2C",West Village,5450,2 BD,1 BA,Manhattan,Compass
4542,"154 West 77th Street, Unit 2F",Upper West Side,3100,1 BD,1 BA,Manhattan,Compass
4543,"749 St Nicholas Avenue, Unit 4F",Hamilton Heights,2300,2 BD,1 BA,Manhattan,Compass
4544,"30 East 95th Street, Unit 3E",Upper East Side,2950,1 BD,1 BA,Manhattan,Compass
4545,"107 West 68th Street, Unit 2C",Upper West Side,3495,2 BD,1 BA,Manhattan,Compass
4546,"431 East 115th Street, Unit 5O",East Harlem,2300,1 BD,1 BA,Manhattan,Compass
4547,"123 Washington Street, Unit 55D",Financial District,7900,2 BD,2 BA,Manhattan,Compass
4548,"350 West 50th Street, Unit 5HH",Hell's Kitchen,2600,Studio,1 BA,Manhattan,Compass
4549,"47 West 12th Street, Unit 1",Greenwich Village,5595,1 BD,1 BA,Manhattan,Compass
4550,"180 Riverside Boulevard, Unit 10S",Upper West Side,3989,1 BD,1 BA,Manhattan,Compass
4551,"235 West 146th Street, Unit A11",Harlem,1875,1 BD,1 BA,Manhattan,Compass
4552,"441 West 56th Street, Unit 1A",Hell's Kitchen,2450,Studio,1 BA,Manhattan,Compass
4553,"169 Morningside Avenue, Unit 2B",Morningside Heights,1795,1 BD,1 BA,Manhattan,Compass
4554,"301 East 63rd Street, Unit 7A",Upper East Side,2850,Studio,1 BA,Manhattan,Compass
4555,"370 East 69th Street, Unit 5G",Upper East Side,2450,Studio,1 BA,Manhattan,Compass
4556,"2300 5th Avenue, Unit 5R",Harlem,1850,Studio,1 BA,Manhattan,Compass
4557,"99 Suffolk Street, Unit 7A",Lower East Side,4795,2 BD,1 BA,Manhattan,Compass
4558,"99 Suffolk Street, Unit 7A",Lower East Side,4795,2 BD,1 BA,Manhattan,Compass
4559,"350 West 57th Street, Unit 3H",Hell's Kitchen,2850,Studio,1 BA,Manhattan,Compass
4560,"620 Lenox Avenue, Unit 6L",Harlem,1999,1 BD,1 BA,Manhattan,Compass
4561,"130 Water Street, Unit 9O",Financial District,3495,Studio,1 BA,Manhattan,Compass
4562,"401 East 80th Street, Unit 8K",Upper East Side,4695,1 BD,1.5 BA,Manhattan,Compass
4563,"245 East 40th Street, Unit 23G",Murray Hill,3208,Studio,1 BA,Manhattan,Compass
4564,"160 Riverside Boulevard, Unit 33A",Upper West Side,12386,3 BD,3 BA,Manhattan,Compass
4565,"160 Riverside Boulevard, Unit 6F",Upper West Side,3068,Studio,1 BA,Manhattan,Compass
4566,"520 West 23rd Street, Unit 9C",Chelsea,5900,2 BD,2 BA,Manhattan,Compass
4567,"141 Nagle Avenue, Unit 1H",Washington Heights,2150,2 BD,1 BA,Manhattan,Compass
4568,"326 East 35th Street, Unit 44",Murray Hill,3595,2 BD,1 BA,Manhattan,Compass
4569,"326 East 35th Street, Unit 55",Murray Hill,3595,2 BD,1 BA,Manhattan,Compass
4570,"209 East 25th Street, Unit 4D",Kips Bay,3395,1 BD,1 BA,Manhattan,Compass
4571,"209 East 25th Street, Unit 2F",Kips Bay,3695,1 BD,1 BA,Manhattan,Compass
4572,"340 East 18th Street, Unit 3D",Gramercy,5995,3 BD,1 BA,Manhattan,Compass
4573,"340 East 18th Street, Unit 3C",Gramercy,5995,3 BD,1 BA,Manhattan,Compass
4574,"416 East 13th Street, Unit 3C",East Village,3995,2 BD,1 BA,Manhattan,Compass
4575,"416 East 13th Street, Unit 1D",East Village,5895,3 BD,1 BA,Manhattan,Compass
4576,"410 East 13th Street, Unit 3D",East Village,5195,3 BD,1 BA,Manhattan,Compass
4577,"410 East 13th Street, Unit 3C",East Village,3995,2 BD,1 BA,Manhattan,Compass
4578,"382 East 10th Street, Unit 3C","Manhattan, NY 10009",3295,1 BD,1 BA,Manhattan,Compass
4579,"382 East 10th Street, Unit 2B","Manhattan, NY 10009",3295,1 BD,1 BA,Manhattan,Compass
4580,"279 East 10th Street, Unit 1R",East Village,4595,2 BD,1.5 BA,Manhattan,Compass
4581,"279 East 10th Street, Unit 16",East Village,3395,1 BD,1 BA,Manhattan,Compass
4582,"2144 5th Avenue, Unit 2B",Harlem,2700,2 BD,1 BA,Manhattan,Compass
4583,"245 East 58th Street, Unit 14C",Midtown East,4600,1 BD,1 BA,Manhattan,Compass
4584,"520 East 11th Street, Unit 20D",East Village,3150,1 BD,1 BA,Manhattan,Compass
4585,"521 West 158th Street, Unit 3",Washington Heights,3495,3 BD,2 BA,Manhattan,Compass
4586,"70 Pine Street, Unit 803",Financial District,3325,Studio,1 BA,Manhattan,Compass
4587,626 1st Avenue,Murray Hill,9920,2 BD,2 BA,Manhattan,Compass
4588,"311 East 25th Street, Unit 1F",Kips Bay,2450,Studio,1 BA,Manhattan,Compass
4589,"16 Maiden Lane, Unit 4",Financial District,4800,3 BD,1 BA,Manhattan,Compass
4590,"16 Maiden Lane, Unit 4",Financial District,4800,3 BD,1 BA,Manhattan,Compass
4591,"555 10th Avenue, Unit 54I",Hudson Yards,5811,1 BD,1 BA,Manhattan,Compass
4592,"220 Waverly Place, Unit 3",West Village,5995,3 BD,1 BA,Manhattan,Compass
4593,"65 Ludlow Street, Unit 8",Lower East Side,3300,2 BD,1 BA,Manhattan,Compass
4594,"65 Ludlow Street, Unit 8",Lower East Side,3300,2 BD,1 BA,Manhattan,Compass
4595,"53 West 82nd Street, Unit 2",Upper West Side,11750,3 BD,2 BA,Manhattan,Compass
4596,"15 Essex Street, Unit 21",Chinatown,3200,2 BD,1 BA,Manhattan,Compass
4597,"15 Essex Street, Unit 21",Chinatown,3200,2 BD,1 BA,Manhattan,Compass
4598,"209 East 10th Street, Unit SIX",East Village,3600,2 BD,1 BA,Manhattan,Compass
4599,"209 East 10th Street, Unit SIX",East Village,3600,2 BD,1 BA,Manhattan,Compass
4600,"311 East 25th Street, Unit 2F",Kips Bay,2625,1 BD,1 BA,Manhattan,Compass
4601,"437 West 46th Street, Unit 2FE",Hell's Kitchen,2895,1 BD,1 BA,Manhattan,Compass
4602,"730 Columbus Avenue, Unit 14B",Upper West Side,3432,Studio,1 BA,Manhattan,Compass
4603,"114 West 86th Street, Unit 17A",Upper West Side,5795,2 BD,2 BA,Manhattan,Compass
4604,"83 St Marks Place, Unit 2R",East Village,3987,2 BD,1 BA,Manhattan,Compass
4605,"337 East 77th Street, Unit PHA",Upper East Side,5683,2 BD,2 BA,Manhattan,Compass
4606,"337 East 77th Street, Unit BB",Upper East Side,2200,Studio,1 BA,Manhattan,Compass
4607,"230 Thompson Street, Unit 21",Greenwich Village,4300,2 BD,1 BA,Manhattan,Compass
4608,"230 Thompson Street, Unit 21",Greenwich Village,4300,2 BD,1 BA,Manhattan,Compass
4609,"400 East 58th Street, Unit 2H",Midtown East,2800,Studio,1 BA,Manhattan,Compass
4610,"83 St Marks Place, Unit 1F",East Village,3666,2 BD,1 BA,Manhattan,Compass
4611,"301 East 21st Street, Unit 13B",Gramercy,5325,1 BD,1 BA,Manhattan,Compass
4612,"130 West 19th Street, Unit THA",Chelsea,6800,1 BD,2 BA,Manhattan,Compass
4613,"75 Leonard Street, Unit 4NW",TriBeCa,4900,1 BD,1 BA,Manhattan,Compass
4614,"300 East 39th Street, Unit 19G",Murray Hill,4418,1 BD,1 BA,Manhattan,Compass
4615,33 St Marks Place,East Village,7800,2 BD,1.5 BA,Manhattan,Compass
4616,"14 West 14th Street, Unit 8B",Flatiron,10795,2 BD,2 BA,Manhattan,Compass
4617,"284 Mott Street, Unit 5M",NoLita,6675,3 BD,2 BA,Manhattan,Compass
4618,"167 Ludlow Street, Unit 2C",Lower East Side,2495,1 BD,1 BA,Manhattan,Compass
4619,"170 Amsterdam Avenue, Unit 4C",Upper West Side,3855,Studio,1 BA,Manhattan,Compass
4620,"170 Amsterdam Avenue, Unit 13C",Upper West Side,3803,Studio,1 BA,Manhattan,Compass
4621,"641 5th Avenue, Unit 24G",Midtown East,10000,2 BD,2 BA,Manhattan,Compass
4622,"394 East 8th Street, Unit 1G",East Village,3500,2 BD,1 BA,Manhattan,Compass
4623,"325 West 93rd Street, Unit 2D",Upper West Side,6000,3 BD,2 BA,Manhattan,Compass
4624,"515 West 52nd Street, Unit 2010F",Hell's Kitchen,6256,2 BD,2 BA,Manhattan,Compass
4625,"250 West 50th Street, Unit 9R",Theater District,4098,1 BD,1 BA,Manhattan,Compass
4626,"250 West 50th Street, Unit 26F",Theater District,4187,1 BD,1 BA,Manhattan,Compass
4627,"186 Claremont Avenue, Unit 1N",Morningside Heights,4200,4 BD,1 BA,Manhattan,Compass
4628,"75 Baxter Street, Unit 4",Chinatown,2585,1 BD,1 BA,Manhattan,Compass
4629,"75 Baxter Street, Unit 4",Chinatown,2820,1 BD,1 BA,Manhattan,Compass
4630,"41 Ave B, Unit 6D",East Village,3495,1 BD,1 BA,Manhattan,Compass
4631,"41 Ave B, Unit 3A",East Village,3595,1 BD,1 BA,Manhattan,Compass
4632,"75 Baxter Street, Unit 3",Chinatown,3494,2 BD,1 BA,Manhattan,Compass
4633,"75 Baxter Street, Unit 3",Chinatown,3812,2 BD,1 BA,Manhattan,Compass
4634,"251 West 19th Street, Unit 3D",Chelsea,10500,2 BD,2 BA,Manhattan,Compass
4635,"247 Broome Street, Unit 4D",Lower East Side,3000,2 BD,1 BA,Manhattan,Compass
4636,"75 Baxter Street, Unit 25",Chinatown,4900,3 BD,1 BA,Manhattan,Compass
4637,"75 Baxter Street, Unit 25",Chinatown,4492,3 BD,1 BA,Manhattan,Compass
4638,"795 Columbus Avenue, Unit 4E",Upper West Side,4195,1 BD,1 BA,Manhattan,Compass
4639,"801 Amsterdam Avenue, Unit 10D",Upper West Side,4065,1 BD,1 BA,Manhattan,Compass
4640,"805 Columbus Avenue, Unit 11E",Upper West Side,3955,1 BD,1 BA,Manhattan,Compass
4641,"239 Park Avenue South, Unit 10D",Gramercy,6600,4 BD,1 BA,Manhattan,Compass
4642,"284 Mott Street, Unit 5M",NoLita,6675,3 BD,2 BA,Manhattan,Compass
4643,"382 3rd Avenue, Unit 14A",Kips Bay,5595,3 BD,2 BA,Manhattan,Compass
4644,"382 3rd Avenue, Unit 15A",Kips Bay,3795,1 BD,1.5 BA,Manhattan,Compass
4645,"5 West 91st Street, Unit 1A",Upper West Side,4650,2 BD,1 BA,Manhattan,Compass
4646,"800 6th Avenue, Unit 28F",NoMad,4516,1 BD,1 BA,Manhattan,Compass
4647,"160 East 88th Street, Unit 5L",Upper East Side,3438,Studio,1 BA,Manhattan,Compass
4648,"85 West 104th Street, Unit 4D",Upper West Side,3000,2 BD,1 BA,Manhattan,Compass
4649,"488 7th Avenue, Unit 11F",Fashion District,2850,Studio,1 BA,Manhattan,Compass
4650,"488 7th Avenue, Unit 11F",Fashion District,2850,Studio,1 BA,Manhattan,Compass
4651,"394 East 8th Street, Unit 4C",East Village,2245,Studio,1 BA,Manhattan,Compass
4652,"800 6th Avenue, Unit 37A",NoMad,4079,Studio,1 BA,Manhattan,Compass
4653,"45 East 89th Street, Unit 29G",Upper East Side,6500,1 BD,1 BA,Manhattan,Compass
4654,"541 East 20th Street, Unit 2D",Gramercy,3805,1 BD,1 BA,Manhattan,Compass
4655,"185 Ave C, Unit 2C",East Village,3195,2 BD,1 BA,Manhattan,Compass
4656,391 Broadway,TriBeCa,18500,4 BD,4.5 BA,Manhattan,Compass
4657,"41 West 24th Street, Unit 6R",NoMad,7200,3 BD,2 BA,Manhattan,Compass
4658,"220 East 54th Street, Unit 3H",Midtown East,2600,Studio,1 BA,Manhattan,Compass
4659,"20 West 53rd Street, Unit 40B",Theater District,16000,2 BD,2 BA,Manhattan,Compass
4660,"10 Downing Street, Unit 3S",West Village,6400,1 BD,1 BA,Manhattan,Compass
4661,"550 West 45th Street, Unit 2104",Hell's Kitchen,3550,Studio,1 BA,Manhattan,Compass
4662,"795 Columbus Avenue, Unit 14A",Upper West Side,10727,3 BD,2.5 BA,Manhattan,Compass
4663,"65 West 13th Street, Unit 9E",Greenwich Village,9995,1 BD,2 BA,Manhattan,Compass
4664,323 East 119th Street,East Harlem,3950,3 BD,2.5 BA,Manhattan,Compass
4665,"1153 3rd Avenue, Unit 5",Upper East Side,1950,1 BD,1 BA,Manhattan,Compass
4666,"160 West 66th Street, Unit 38J",Upper West Side,4650,1 BD,1.5 BA,Manhattan,Compass
4667,"45 Christopher Street, Unit 3C",West Village,6250,1 BD,1.5 BA,Manhattan,Compass
4668,"435 West 54th Street, Unit 4D",Hell's Kitchen,2995,2 BD,1 BA,Manhattan,Compass
4669,"130 East 62nd Street, Unit 1F",Upper East Side,3950,Studio,1 BA,Manhattan,Compass
4670,"230 West 55th Street, Unit 6C",Theater District,3495,1 BD,1 BA,Manhattan,Compass
4671,"229 East 84th Street, Unit 3D",Upper East Side,3200,2 BD,1 BA,Manhattan,Compass
4672,"2101 8th Avenue, Unit 7B",Harlem,4200,2 BD,2 BA,Manhattan,Compass
4673,"90 West Street, Unit 21L",Financial District,4050,1 BD,1 BA,Manhattan,Compass
4674,"30 Christopher Street, Unit 6D",West Village,3495,Studio,1 BA,Manhattan,Compass
4675,"87 East 2nd Street, Unit 5B",East Village,4975,1 BD,1 BA,Manhattan,Compass
4676,"220 East 84th Street, Unit 5C",Upper East Side,1700,1 BD,1 BA,Manhattan,Compass
4677,"155 West 68th Street, Unit 331",Upper West Side,4850,2 BD,1 BA,Manhattan,Compass
4678,"25 Central Park West, Unit 11Z",Upper West Side,9500,2 BD,2 BA,Manhattan,Compass
4679,"212 East 47th Street, Unit 17H",Midtown East,3600,1 BD,1 BA,Manhattan,Compass
4680,"70 Pine Street, Unit 803",Financial District,3325,Studio,1 BA,Manhattan,Compass
4681,"663 Lexington Avenue, Unit 3",Midtown East,5500,3 BD,2 BA,Manhattan,Compass
4682,"121 West 19th Street, Unit 3D",Chelsea,5700,1 BD,1 BA,Manhattan,Compass
4683,"718 West 178th Street, Unit 4",Washington Heights,2450,2 BD,1 BA,Manhattan,Compass
4684,"212 East 47th Street, Unit 31E",Midtown East,3700,1 BD,1 BA,Manhattan,Compass
4685,"1601 3rd Avenue, Unit 5H",Upper East Side,6000,3 BD,2 BA,Manhattan,Compass
4686,"30 Morningside Drive, Unit 309",Morningside Heights,9841,3 BD,2 BA,Manhattan,Compass
4687,"202 Mott Street, Unit 32",NoLita,2795,1 BD,1 BA,Manhattan,Compass
4688,"403 East 62nd Street, Unit 6C",Upper East Side,3250,1 BD,1 BA,Manhattan,Compass
4689,"210 West 138th Street, Unit 3",Harlem,4395,3 BD,2 BA,Manhattan,Compass
4690,"228 West 15th Street, Unit 3B",Chelsea,2725,Studio,1 BA,Manhattan,Compass
4691,"128 East 70th Street, Unit 1A",Upper East Side,2600,1 BD,1 BA,Manhattan,Compass
4692,"340 West 49th Street, Unit 1RW",Hell's Kitchen,3529,2 BD,1 BA,Manhattan,Compass
4693,"246 West 17th Street, Unit 2E",Chelsea,9500,2 BD,2.5 BA,Manhattan,Compass
4694,"135 Central Park West, Unit 2NC",Upper West Side,39500,4 BD,4 BA,Manhattan,Compass
4695,"373 1st Avenue, Unit 2",Gramercy,4850,3 BD,1 BA,Manhattan,Compass
4696,"255 West 23rd Street, Unit 4CE",Chelsea,3750,1 BD,1 BA,Manhattan,Compass
4697,"210 West 138th Street, Unit 2",Harlem,4295,3 BD,2 BA,Manhattan,Compass
4698,"80 Park Avenue, Unit 2A",Murray Hill,2450,Studio,1 BA,Manhattan,Compass
4699,"39 East 29th Street, Unit 21D",NoMad,5995,1 BD,1 BA,Manhattan,Compass
4700,"401 West 33rd Street, Unit 6A",Hudson Yards,3650,1 BD,1 BA,Manhattan,Compass
4701,"2300 8th Avenue, Unit 8F",Harlem,3500,1 BD,1.5 BA,Manhattan,Compass
4702,"128 Central Park South, Unit 3C",Central Park South,3895,1 BD,1.5 BA,Manhattan,Compass
4703,"57 West 58th Street, Unit 9I",Central Park South,3995,2 BD,1 BA,Manhattan,Compass
4704,"57 West 58th Street, Unit 9I",Central Park South,3995,2 BD,1 BA,Manhattan,Compass
4705,"128 Central Park South, Unit 3C",Central Park South,3895,1 BD,1.5 BA,Manhattan,Compass
4706,"250 East 90th Street, Unit 2S",Upper East Side,2500,2 BD,1 BA,Manhattan,Compass
4707,"56 Perry Street, Unit 1FE",West Village,4795,2 BD,1 BA,Manhattan,Compass
4708,"515 East 72nd Street, Unit 16D",Upper East Side,3950,1 BD,1 BA,Manhattan,Compass
4709,"56 7th Avenue, Unit 5LK",West Village,7900,2 BD,2 BA,Manhattan,Compass
4710,"650 6th Avenue, Unit 5D",Flatiron,4700,Studio,1 BA,Manhattan,Compass
4711,"309 West 30th Street, Unit 7B",Chelsea,3140,1 BD,1 BA,Manhattan,Compass
4712,"242 West 53rd Street, Unit 21B",Theater District,3850,Studio,1 BA,Manhattan,Compass
4713,"150 Sullivan Street, Unit 33",SoHo,3695,1 BD,1 BA,Manhattan,Compass
4714,"32 Gramercy Park South, Unit 12H",Gramercy,4300,1 BD,1 BA,Manhattan,Compass
4715,"25 Indian Road, Unit 4H",Inwood,2200,1 BD,1 BA,Manhattan,Compass
4716,"315 West 33rd Street, Unit 33I",Hudson Yards,6461,2 BD,2 BA,Manhattan,Compass
4717,"393 West 49th Street, Unit 5S",Hell's Kitchen,3495,1 BD,1 BA,Manhattan,Compass
4718,"440 Washington Street, Unit 202",TriBeCa,7950,2 BD,2 BA,Manhattan,Compass
4719,"68 Bradhurst Avenue, Unit 3D",Harlem,4500,3 BD,2 BA,Manhattan,Compass
4720,"619 East 11th Street, Unit 4B",East Village,2400,1 BD,1 BA,Manhattan,Compass
4721,"227 West 77th Street, Unit 20A",Upper West Side,11394,2 BD,2 BA,Manhattan,Compass
4722,"300 East 46th Street, Unit 3K",Midtown East,2725,Studio,1 BA,Manhattan,Compass
